COLONIA VELEZ,4742,2933,6
SPURR,2759,8103,6
SPERONI,3589,7163,6
SPERATTI,3798,1741,6
SOURIGUES,16595,1885,6
SOLIS,4665,2764,6
SOLANET,2674,7151,6
SOLALE,3620,6064,6
SOL DE MAYO,4154,7243,6
SOL DE MAYO,4588,2709,6
SMITH,2976,6531,6
SIERRAS BAYAS,4259,7403,6
SIERRA DE LOS PADRES,4508,7601,6
SIERRA DE LA VENTANA,4849,8168,6
SIERRA CHICA,4258,7401,6
SIEMPRE VERDE,4083,7609,6
SHAW,2708,7316,6
SEVIGNE,3218,7101,6
SEMINARIO PIO XII,4117,6600,6
SEGUROLA,3949,7119,6
SAUZALES,3808,6030,6
SAUCE GRANDE,18309,8150,6
SAUCE CORTO,18272,7540,6
SAUCE CHICO,2758,8105,6
SATURNO,3674,6417,6
SARASA,3115,2721,6
SARANDI,2461,1872,6
SANTOS UNZUE,2530,6507,6
SANTOS LUGARES,16492,1676,6
SANTO TOMAS CHICO,2975,6538,6
STEGMANN,3168,7536,6
SANTO TOMAS,2974,6530,6
STROEDER,3036,8508,6
SUIPACHA,4778,6612,6
TRES ARROYOS,4899,7500,6
TRES ALGARROBOS,2997,6231,6
TRENQUE LAUQUEN,4872,6400,6
TORTUGUITAS,16474,1667,6
TORRES,3904,6703,6
TORO,4400,1635,6
TORNQUIST,4850,8160,6
TORDILLO,4836,7101,6
TOMAS JOFRE,4118,6601,6
TOLDOS VIEJOS,4635,7267,6
TODD,2818,2754,6
TIO DOMINGO,3590,7163,6
TIMOTE,2996,6457,6
TIGRE,16539,1648,6
THAMES,2573,6343,6
TERMAS LOS GAUCHOS,3037,8504,6
TENIENTE ORIGONE,4974,8144,6
TENIENTE CORONEL MIÑANA,4260,7401,6
TEMPERLEY,16451,1834,6
TEJO GALETA,3169,7530,6
TEDIN URIBURU,2842,7021,6
TATAY,3007,6721,6
TAPIALES,16511,1770,6
TAPALQUE,4822,7303,6
TANDIL,16359,7000,6
TAMBO NUEVO,4357,2700,6
TAMANGUEYU,3859,7633,6
TACUARI,4653,2743,6
SUNDBLAD,4568,6401,6
SUCRE,3903,6708,6
TRES CUERVOS,4443,8183,6
SANTO DOMINGO,3948,7119,6
SANTIAGO GARBARINI,2491,6660,6
SANSINENA,4567,6233,6
SAN VICENTE,4772,1865,6
SAN VALENTIN,4081,7613,6
SAN SIMON,2800,7621,6
SAN SEVERO,4691,7521,6
SAN SEBASTIAN,3107,6623,6
SAN ROQUE,4928,6017,6
SAN ROMAN,3154,8154,6
SAN RAMON DE ANCHORENA,2707,7311,6
SAN RAMON,3153,8150,6
SAN RAMON,4870,6424,6
SAN RAMON,4354,2754,6
SAN RAFAEL,18267,7130,6
SAN QUILCO,3761,7406,6
SAN PEDRO,4758,2930,6
SAN PATRICIO,3061,6734,6
SAN PASCUAL,4802,7007,6
SAN NICOLAS DE LOS ARROYOS,21075,2900,6
SAN MIGUEL DEL MORO,3858,7631,6
SAN MIGUEL DEL MONTE,4720,7220,6
SAN MIGUEL ARCANGEL,2572,8185,6
SAN MIGUEL,16525,1663,6
SAN MAYOL,4898,7519,6
SAN MAURICIO,4566,6239,6
SAN MARTIN DE TOURS,4616,8164,6
SAN MANUEL,3857,7007,6
SAN LAUREANO,2673,7150,6
SAN JUSTO,3542,7118,6
SAN JUSTO,16509,1754,6
SANTA ALICIA,3874,7243,6
SANTIAGO LARRE,4601,7245,6
SANTA CATALINA,4692,7503,6
SANTA CECILIA NORTE,4292,6472,6
SANTA TRINIDAD,3184,7541,6
SANTA TERESITA PERGAMINO,4356,2701,6
SANTA TERESITA,3564,7107,6
SANTA TERESA,3563,7163,6
SANTA TERESA,4534,2912,6
SANTA ROSA DE MINELLONO,3786,7212,6
SANTA ROSA,4821,7303,6
SANTA ROSA,16580,1888,6
SANTA ROSA,2944,1739,6
SANTA RITA PDO GUAMINI,3673,6437,6
SANTA RITA,4355,2700,6
SANTA REGINA,3645,6105,6
SANTA MARIA BELLOQ,2973,6535,6
SANTA MARIA,3835,6071,6
SANTA LUISA,4257,7401,6
SANTA LUCIA,4759,2935,6
SANTA ISABEL,2658,6550,6
SANTA IRENE,2647,7607,6
SANTA INES,4871,6471,6
SANTA INES,2995,6459,6
SANTA FELICIA,3875,7243,6
SANTA ELEODORA,3644,6241,6
SANTA ELENA,18307,7609,6
SANTA ELENA,3772,7414,6
SANTA ELENA,3902,6700,6
SANTA COLOMA,2809,2761,6
SANTA CLEMENTINA,3762,7406,6
SANTA CLARA DEL MAR,4082,7609,6
SANTA CECILIA SUD,4293,6450,6
SANTA CECILIA CENTRO,4291,6463,6
TRES LAGUNAS,2574,6443,6
TRES LEGUAS,3219,7100,6
TRES LOMAS,16422,6409,6
VILLA HERMINIA,2766,8101,6
VILLA HARDING GREEN,2765,8101,6
VILLA GRAL SAVIO EST SANCHEZ,4535,2912,6
VILLA GODOY,4361,2700,6
VILLA GOBERNADOR UDAONDO,16445,1713,6
VILLA GESELL,3592,7165,6
VILLA GENERAL ARIAS,3132,8101,6
VILLA GALICIA,4808,7000,6
VILLA FRANCIA,3906,6706,6
VILLA FRANCIA,3621,6058,6
VILLA FOX,4997,2800,6
VILLA FLORIDA,4996,2800,6
VILLA FLORESTA,2764,8000,6
VILLA ESPIL,4667,6712,6
VILLA ESPAÑA,16596,1884,6
VILLA ELISA,3748,1894,6
VILLA ELENA,3038,8512,6
VILLA DUFAU,4807,7000,6
VILLA DOMINICO,2462,1874,6
VILLA DOMINGO PRONSATO,2763,8000,6
VILLA DIAZ VELEZ,4177,7630,6
VILLA DIAMANTINA,2532,6500,6
VILLA DEPIETRI,4760,2930,6
VILLA DELFINA,4929,8000,6
VILLA DEL MAR,3131,8109,6
VILLA DE MAYO,16475,1614,6
VILLA DAZA,4806,7000,6
VILLA DA FONTE,4360,2718,6
VILLA COPACABANA,2648,7607,6
VILLA IGOLLO,18271,2930,6
VILLA CLELIA,3565,7109,6
VILLA IRIS,4445,8126,6
VILLA ITALIA,2767,8000,6
VILLA ORTEGA,3700,6000,6
VILLA OLGA GRUMBEIN,2773,8000,6
VILLA OBRERA,2772,8000,6
VILLA NUMANCIA,24842,1858,6
VILLA NOCITO,2771,8000,6
VILLA MOSCONI,4999,2800,6
VILLA MOQUEHUA,3108,6625,6
VILLA MONICA,4262,7318,6
VILLA MITRE,2770,8000,6
VILLA MAZA,2567,6343,6
VILLA MAYOR,3699,6000,6
VILLA MASSONI,4998,2800,6
VILLA MARTELLI,21729,1603,6
VILLA MARIA,2601,6628,6
VILLA MARGARITA,2576,8185,6
VILLA MAIO,3134,8109,6
VILLA LYNCH PUEYRREDON,2874,6553,6
VILLA LYNCH,16569,1672,6
VILLA LUZURIAGA,16513,1754,6
VILLA LORETO,2769,8000,6
VILLA LOMA,4552,7203,6
VILLA LIBRE,2768,8000,6
VILLA LIA,4678,2761,6
VILLA LEANDRA,4761,2946,6
VILLA LAZA,18256,7000,6
VILLA LAURA,3133,8109,6
VILLA LA FLORIDA,16554,1881,6
VILLA LA CHECHELA,3247,1625,6
VILLA JUAREZ,2823,7020,6
VILLA ITALIA,4809,7000,6
VILLA CERRITO,2762,8000,6
VILLA CENTENARIO,4359,2700,6
VILLA CASTELAR EST ERIZE,2575,6430,6
VELA,4805,7003,6
VEDIA,3810,6030,6
VECINO,3220,7118,6
VASQUEZ,2585,7519,6
VAÑA,2709,7301,6
VALLIMANCA,2873,6557,6
VALERIA DEL MAR,3591,7167,6
VALENZUELA ANTON,4176,7630,6
VALENTIN GOMEZ,4569,6401,6
