LOS CIPRESES,7407,9203,26
LOS ALTARES,7497,9207,26
LORETO,7310,9121,26
LOMA REDONDA,7434,9105,26
LANGUIÑEO,7465,9201,26
LELEQUE,7346,9213,26
LEGUA 24,7406,9203,26
LAS SALINAS,7466,9201,26
LAS PULGAS,7555,9020,26
LAS PLUMAS,7482,9101,26
LAS PAMPAS,7580,9225,26
LAS HORQUETAS,7496,9207,26
LAS GOLONDRINAS,7345,8430,26
LAS CORTADERAS,7495,9207,26
LAS CHAPAS,7481,9107,26
LARRALDE,7309,9121,26
LAS MULAS,7579,9223,26
MANANTIAL GRANDE,7556,9020,26
LOS MANANTIALES,7498,9207,26
PAINALUF,7607,9121,26
ÑORQUINCO SUD,7347,8415,26
LAGUNITA SALADA,7450,9121,26
NIRIGUCE PAMPA,7585,9223,26
NIRIGUAO,7584,9223,26
NAHUEL PAN ESTACION FCGR,7411,9200,26
MEDANOS,7311,9121,26
MAYOCO,7410,9200,26
MATUCANA,7409,9200,26
MATA GRANDE,7583,9220,26
MANANTIALES BEHR,27897,9000,26
MALLIN GRANDE CORCOVADO,7408,9121,26
MALLIN GRANDE,7606,9121,26
MALLIN BLANCO,7467,9201,26
MALASPINA,7386,9007,26
MAESTEG,7435,9105,26
LOS TAMARISCOS,7535,9031,26
LOS CORRALITOS,7582,9223,26
LAGUNA VERDE,7578,9220,26
LA ROSILLA,7308,9121,26
LAGUNA RINCON DEL MORO,20768,9207,26
LA NICOLASA,7530,9039,26
LA LAURITA,7529,9227,26
LA LANCHA,22104,9200,26
LA CORONA,7307,9121,26
LA CASTELLANA,21931,9111,26
LA CASTELLANA,7342,9007,26
LA CANCHA,26405,9200,26
LA CANCHA,7527,9039,26
LA BOMBILLA,7493,9207,26
KILOMETRO 191,7551,9020,26
KILOMETRO 11,22005,9000,26
JOSE DE SAN MARTIN,7574,9220,26
ING BRUNO J THOMAE,7341,9210,26
HOLDICH,7367,9009,26
HITO 50,7526,9039,26
PAMPA DE AGNIA,7468,9201,26
HITO 45,7525,9039,26
LA PEPITA,7531,9033,26
LAGUNA TERRAPLEN,7405,9200,26
LA PRIMAVERA,7494,9201,26
LA SIBERIA,7532,9039,26
LAGUNA PALACIO,7554,9020,26
LAGUNA GRANDE,7480,9107,26
LAGUNA FRIA,7605,9121,26
LAGUNA DEL MATE,7553,9020,26
LAGUNA DE VACAS,20582,9121,26
LAGUNA BLANCA,7576,9220,26
LAGO VINTTER,7575,9225,26
LAGO VERDE,7404,9225,26
LAGO ROSARIO,7403,9203,26
LAGO RIVADAVIA,7402,9217,26
LAGO PUELO,7344,8431,26
LAGO PAZ,20601,9225,26
LAGO MUSTERS,7552,9023,26
LAGO LEZANA,7343,9217,26
LAGO FONTANA,7534,9033,26
LAGO CARLOS PELLEGRINI,22112,9217,26
LAGO BLANCO,7533,9039,26
LA SALAMANCA,7369,9007,26
PAMPA DEL CASTILLO,7370,9000,26
SIERRA CHATA,7609,9121,26
PAMPA SALAMANCA,7372,9007,26
TATUEN,7612,9121,26
TAQUETREN,7454,9201,26
TALAGAPA,7611,9121,26
SUNICA,7415,9200,26
SOL DE MAYO,7510,9103,26
SIERRA VICTORIA,7560,9020,26
SIERRA ROSADA,7610,9121,26
TECKA,7473,9201,26
SIERRA OVERA CHICAS Y GRANDES,7377,9007,26
SIERRA NEVADA BUEN PASTO,7541,9023,26
SIERRA DE TECKA,7414,9200,26
SIERRA CUADRADA,7376,9007,26
SIERRA CORRIENTES,7559,9020,26
SIERRA COLORADA,7389,9007,26
SIERRA CHICA,22193,9121,26
SIEMPRE VIVA,7349,9213,26
SIERRA NEVADA PASO DE INDIOS,7500,9207,26
TELSEN,7613,9121,26
TOMA DE LOS CANALES,7436,9107,26
TORO HOSCO,7501,9207,26
HITO 43,7573,9225,26
VILLA LAGO RIVADAVIA,27893,9217,26
VILLA INES,7441,9105,26
VILLA FUTALAUFQUEN,7418,9200,26
VALLE LOS MARTIRES,7438,9105,26
VALLE HUEMULES,7542,9039,26
VALLE HONDO,7476,9221,26
VALLE HERMOSO,7561,9020,26
VALLE GARIN,7475,9201,26
VALLE FRIO,7417,9203,26
VALLE DEL TECKA,7474,9201,26
VALLE DEL RIO CHUBUT,7439,9121,26
UZCUDUN,7390,9007,26
TREVELIN,7416,9203,26
TRES PICOS,7591,9223,26
TREORKI,7437,9105,26
TRELEW,25772,9100,26
SEPRUCAL,7608,9121,26
SARMIENTO,7558,9020,26
SAN JOSE,7322,9121,26
SALINAS GRANDES,7321,9121,26
PUERTO MADRYN,7313,9120,26
PUERTO LOBOS,7312,8532,26
PUENTE HENDRE,7507,9101,26
POCITOS DE QUICHAURA,7472,9201,26
PLAYA UNION,7506,9103,26
PIRRE MAHUIDA,7451,9121,26
PIEDRA SHOTEL,7587,9227,26
PIEDRA PARADA,7471,9201,26
PICO SALAMANCA,7373,9000,26
PASTOS BLANCOS,7538,9033,26
PASO MORENO,7536,9227,26
PASO DEL SAPO,7470,9201,26
PASO DE TORRES,7557,9020,26
PASO DE INDIOS,7499,9207,26
PARQUE NACIONAL LOS ALERCES,7412,9201,26
PARAJE ENTRE RIOS,27902,8431,26
PAMPA TEPUEL,7469,9201,26
PUERTO PIRAMIDES,7314,9121,26
PAMPA PELADA,7371,9007,26
PUERTO SAN ROMAN,7315,9121,26
PUNTA DELGADA,7317,9121,26
SALINAS CHICAS,7320,9121,26
SACANANA,7453,9121,26
RUTA 3 KILOMETRO 1711,7387,9007,26
RUTA 3 KILOMETRO 1646,7388,9111,26
RIO PICO,7589,9225,26
RIO MAYO,7540,9030,26
RIO FRIAS,7539,9227,26
RIO CORINTO,7413,9203,26
RIO CHICO,7375,9007,26
RIO CARRILEUFU,27915,9217,26
RAWSON,7509,9103,26
RANQUIL HUAO,7348,9213,26
RADA TILLY,7374,9001,26
PUTRACHOIQUE,7588,9223,26
PUNTA QUIROGA,7319,9120,26
PUNTA NORTE,7318,9121,26
PUNTA NINFAS,7508,9120,26
PUNTA BAJOS,7316,9121,26
GUALJAINA,7340,9201,26
LENZANILLEO,7581,9223,26
GLASFRYN,7433,9105,26
CAÑADON CHACAY,7564,9223,26
CAÑADON CARRIL,7545,9020,26
CAÑADON CALIENTE,7324,9213,26
CAÑADON BLANCO,7595,9121,26
CAÑADON BAGUAL,7594,9121,26
CAÑADA BAGUAL,7486,9207,26
CAMPAMENTO VILLEGAS,7427,9107,26
CAÑADON CHILENO,7596,9121,26
CAMARONES,7381,9111,26
CALETA CORDOVA,21952,9003,26
CAJON DE GINEBRA GRANDE,7485,9201,26
CAJON DE GINEBRA CHICO,7484,9201,26
CACHEL,21869,9201,26
CABO RASO,7380,9111,26
CABEZA DE BUEY,7478,9101,26
CABAÑA DEL VALLE,7426,9105,26
CALETA VALDEZ,7298,9121,26
CAÑADON FERRAIS,7356,9001,26
CAÑADON GRANDE,7325,9213,26
CAÑADON LA MADERA,7565,9220,26
CERRO RADAL,7326,8430,26
CERRO PICHALAO,7598,9120,26
CERRO NEGRO,7567,9223,26
CERRO MALLACO,7395,9200,26
CERRO LONCO TRAPIAL,7488,9201,26
CERRO FOFOCAHUEL,7350,9213,26
CERRO CONDOR,7487,9207,26
CERRO CENTINELA,7394,9203,26
CATAYCO,7597,9120,26
CASA BLANCA,7566,9220,26
CASA BLANCA,7504,9103,26
CARRENLEUFU,7455,9201,26
CARHUE NIYEO,7444,9121,26
CAÑADON TACHO,7546,9020,26
CAÑADON PEDRO EX VALLE HERMOSO,7359,9009,26
CAÑADON LOPEZ,7358,9009,26
CAÑADON LAGARTO,7357,9009,26
BUENOS AIRES CHICO,7323,9210,26
BUEN PASTO,7544,9023,26
BRYN GWYN,7425,9105,26
BRYN BROWN,7424,9105,26
ARROYO GUILAIA,7483,9207,26
ARROYO GATO,7517,9033,26
ARROYO EL MOSQUITO,27906,9217,26
ARROYO CHALIA,7516,9035,26
ARENOSO,7563,9225,26
ANGOSTURA SEGUNDA,7420,9105,26
ANGOSTURA,7419,9105,26
ALTO RIO SENGUER,7515,9033,26
ALTO RIO PICO,7562,9223,26
ALTO RIO MAYO,7514,9037,26
ALDEA ESCOLAR,7391,9203,26
ALDEA BELEIRO,7513,9037,26
ALDEA APELEG,7512,9033,26
AGUADA DEL PITO,7442,9121,26
AGUADA DE LAS TEJAS,7592,9121,26
28 DE JULIO,7440,9107,26
GOBERNADOR COSTA,7572,9223,26
ARROYO PERCY,7392,9203,26
CERRO SANTA ANA,7445,9100,26
ARROYO PESCADO,7393,9200,26
ARROYO VERDE,7293,8532,26
BOQUETE BOLSON,27914,9210,26
BOCA ZANJA SUD,7423,9107,26
BOCA DE LA ZANJA,7422,9107,26
BLANCUNTRE,7452,9121,26
BETESTA,7421,9105,26
BASE AERONAVAL ALTE IRIZAR,7503,9101,26
BARRIO ASTRA,21945,9003,26
BAJO LAS DAMAJUANAS,7297,9121,26
BAJO LA CANCHA,7518,9031,26
BAJO DEL GUALICHO,7295,9121,26
BAJO DE LOS HUESOS,7502,9103,26
BAJO BARTOLO,7296,9121,26
BAJADA MORENO,7443,9121,26
BAJADA DEL DIABLO,7593,9101,26
BAHIA SOLANO,7353,9003,26
BAHIA CRACHER,7294,9120,26
BAHIA BUSTAMANTE,7352,9111,26
ARROYO QUILLA,7543,9020,26
CHACAY ESTE,7599,9121,26
ALTO DE LAS PLUMAS,7477,9101,26
CHACRA DE AUSTIN,7396,9200,26
EL TROPEZON,7571,9223,26
EL TRIANA,7523,9037,26
EL TREBOL,27896,9000,26
EL SOMBRERO,7492,9207,26
EL SHAMAN,7570,9223,26
EL SALITRAL,7305,9121,26
EL RUANO,7304,9121,26
EL QUILIMUAY,7303,9121,26
EL POYO,7462,9201,26
EL PORVENIR,7522,9227,26
EL PORTEZUELO,21854,9201,26
EL PIQUILLIN,7302,9121,26
EL PASTIZAL,7301,9121,26
EL PAJARITO,7491,9201,26
EL MOLLE,7461,9220,26
EL MIRASOL,7479,9101,26
EL MIRADOR,7336,9201,26
EL TURBIO,27795,9210,26
EL MAITEN,7335,9210,26
EMPALME A ASTRA,7366,9003,26
ENRIQUE HERMITTE,7550,9020,26
GASTRE,7449,9121,26
CHACAY OESTE,7600,9121,26
GARAYALDE,7385,9007,26
GAN GAN,7604,9121,26
GAIMAN,7432,9105,26
FRONTERA DE RIO PICO,20598,9225,26
FOFO CAHUEL,7351,9213,26
FLORENTINO AMEGHINO,7384,9113,26
FITIRHUIN,7339,9210,26
FITHEN VERIN,7338,9210,26
FACUNDO,7524,9031,26
ESTANCIA PAMPA CHICA,7464,9201,26
ESTANCIA NUEVA LUBECKA,7586,9227,26
ESTANCIA LA MIMOSA,7463,9201,26
ESTANCIA EL MORO,7603,9121,26
ESQUEL,7400,9200,26
EPUYEN,7337,9211,26
EMPALME PUERTO LOBOS,7306,8532,26
EL KAQUEL,7460,9201,26
FUTALEUFU,7401,9203,26
EL HOYO,7334,8431,26
CUSHAMEN,7331,9211,26
COSTA RIO CHICO,7549,9020,26
COSTA DEL LEPA,7330,9201,26
COSTA CHUBUT,7329,9210,26
CORRALITOS,7568,9220,26
CORCOVADO,7398,9201,26
COMODORO RIVADAVIA,7362,9000,26
DIQUE FLORENTINO AMEGHINO,7428,9101,26
COLONIA GERMANIA,7548,9020,26
COLONIA CUSHAMEN,7328,9213,26
COLONIA 16 DE OCTUBRE,7397,9200,26
COLHUE HUAPI,7547,9021,26
COLELACHE,7446,9121,26
CHOLILA,7327,9217,26
CHARQUE CHICO,7505,9103,26
EL JAGUEL,7383,9007,26
COLONIA EPULEF,7457,9201,26
DOCTOR RICARDO ROJAS,7520,9035,26
COLAN CONHUE,7456,9201,26
DOS POZOS,7382,9100,26
EL ESCORIAL,7448,9121,26
DOLAVON,7429,9107,26
EL DESEMPEÑO,7300,9120,26
EL CUCHE,7459,9201,26
EL CRONOMETRO,7458,9201,26
EL COLHUE,27903,9211,26
EL COITE,7521,9033,26
EL COIHUE,7333,9211,26
EL CHERQUE,7569,9223,26
CHASICO,7601,9121,26
EL CHACAY,7447,9121,26
EL CHALET,20738,9207,26
EL ALAMO,7602,9121,26
EL ARGENTINO,7431,9105,26
EL BOQUETE,7399,9210,26
EBENECER,7430,9107,26
EL CALAFATE,7489,9201,26
EL CANQUEL,7490,9207,26
EL CAJON,7332,9217,26
