ISLA IBATE,9958,3412,18
IBIRA PITA,19760,3470,18
IBIRAY,27714,3414,18
IBIRITANGAY,19501,3302,18
IFRAN,9938,3453,18
IGUATE PORA,17476,3423,18
INDEPENDENCIA,10073,3222,18
INFANTE,10200,3483,18
INGA,9813,3196,18
INVERNADA,20446,3454,18
IPACARAPA,20134,3485,18
ISABEL VICTORIA,9939,3453,18
ISLA ALTA,20149,3448,18
ISLA ALTA,9689,3449,18
ISLA APIPE CHICO,9974,3302,18
ISLA GRANDE,10279,3342,18
ISLA IBATAY,19999,3401,18
INGENIO PRIMER CORRENTINO,19998,3401,18
ISLA SAN MATEO,20207,3340,18
GUAY GRANDE,20206,3340,18
IBAVIYU,9755,3466,18
GARRIDO CUE,17344,3416,18
GARRUCHOS,10275,3351,18
ISLA SOLA,19361,3450,18
GDOR JUAN EUSEBIO TORRENT,20038,3403,18
GENERAL PAZ,19259,3407,18
GOBERNADOR JUAN E MARTINEZ,9996,3445,18
GOBERNADOR RUIZ,20205,3340,18
GOBERNADOR VIRASORO,10276,3342,18
IBERA,10278,3342,18
GOMEZ CUE,10277,3340,18
GRANJA AMELIA,19358,3450,18
GUAVIRAVI,10188,3232,18
GUAYCURU,17735,3465,18
GUAYQUIRARO,9812,3194,18
GUAYU,9957,3412,18
GUAZU CORA,19938,3420,18
HERLITZKA,10181,3403,18
IBAHAY,9908,3480,18
GOYA,9937,3450,18
ISLA TACUARA,17263,3481,18
KILOMETRO 151,19262,3405,18
ITA CORA,10037,3470,18
KILOMETRO 204,10112,3232,18
KILOMETRO 235,10113,3234,18
KILOMETRO 261,10040,3476,18
KILOMETRO 268,10114,3230,18
KILOMETRO 287 FCGU,19769,3470,18
KILOMETRO 296,19772,3470,18
KILOMETRO 31,20039,3403,18
KILOMETRO 374,10238,3446,18
KILOMETRO 182,10081,3224,18
KILOMETRO 382,20150,3448,18
KILOMETRO 393,9872,3344,18
KILOMETRO 394,9873,3344,18
KILOMETRO 396,9874,3344,18
KILOMETRO 402,17126,3448,18
KILOMETRO 405,9756,3460,18
KILOMETRO 406,10157,3420,18
GARRIDO,20037,3403,18
KILOMETRO 410,19653,3445,18
KILOMETRO 387,10239,3446,18
KILOMETRO 173,10080,3220,18
KILOMETRO 167,10079,3220,18
KILOMETRO 148,10077,3405,18
ITA CUA,20210,3340,18
ITA CURUBI,19363,3450,18
ITA IBATE,9909,3480,18
ITA PASO,27568,3483,18
ITA PUCU,10038,3470,18
ITATI,9959,3414,18
ITATI RINCON,10039,3470,18
ITUZAINGO,9975,3302,18
JARDIN FLORIDO,19940,3420,18
JESUS MARIA,9814,3196,18
JOSE RAFAEL GOMEZ,10269,3342,18
JUAN DIAZ,27712,3449,18
JUAN PUJOL,10074,3222,18
JUAN RAMON VIDAL,20000,3401,18
JUSTINO SOLARI,19764,3476,18
KILOMETRO 104,10075,3226,18
KILOMETRO 120,19820,3222,18
KILOMETRO 13,17347,3401,18
KILOMETRO 134,10076,3222,18
ISOQUI,27709,3346,18
GARCITAS,19498,3302,18
ESTANCIA LA CALERA,19754,3470,18
GALARZA CUE,10274,3340,18
ESTACION LIBERTAD,10071,3224,18
ESTACION SALADAS,10156,3428,18
ESTANCIA AGUACEROS,19746,3470,18
ESTANCIA BUENA VISTA,20197,3340,18
ESTANCIA CAFFERATTA,19039,3196,18
ESTANCIA CASURINA,20198,3340,18
ESTANCIA CERRO VERDE,19750,3470,18
ESTANCIA DEL MEDIO,20146,3474,18
ESTACION AGRONOMICA,17124,3432,18
ESTANCIA DURRUTI,20200,3340,18
ESTANCIA EL CARMEN,20318,3460,18
ESTANCIA EL CHAÑAR,17715,3460,18
ESTANCIA EL OMBU,20201,3340,18
ESTANCIA EL PORVENIR,20112,3231,18
ESTANCIA GONZALEZ CRUZ,19751,3470,18
ESTANCIA ITA CAABO,19753,3470,18
ESTANCIA LA ARBOLEDA,20111,3231,18
ESTANCIA LA CARMENCHA,17239,3481,18
ESTANCIA EL CARMEN,19041,3196,18
ESTABLECIMIENTO LA MERCED,9973,3358,18
EST SOLARI,19799,3476,18
ESQUIVEL CUE,20034,3403,18
KILOMETRO 416,19661,3445,18
EL TIGRE,20253,3463,18
EL TORO PI,17121,3432,18
EL TRANSITO,19356,3454,18
EL VASCO,20031,3403,18
EL YAPU,9807,3197,18
EL YUQUERI,17472,3423,18
EMILIO R CONI,9751,3465,18
EMPEDRADO,9776,3418,18
EMPEDRADO LIMPIO,19490,3302,18
EMPEDRADO LIMPIO,20033,3403,18
EMPEDRADO LIMPIO,18004,3418,18
ENSENADA GRANDE,19995,3412,18
ENSENADITA,19996,3412,18
ESFADAL,9869,3344,18
ESPERANZA,9752,3461,18
ESPINILLAR,9870,3344,18
ESPINILLO,9753,3460,18
ESQUINA,9808,3196,18
ESTANCIA LA CAROLINA,19898,3230,18
GARABATA,20035,3403,18
ESTANCIA LA LOMA,19119,3344,18
ESTANCIA LA MARIA,19755,3470,18
ESTANCIA SOLEDAD,20118,3231,18
ESTANCIA TUNAS,19759,3470,18
ESTE ARGENTINO,10072,3220,18
ESTERO GRANDE,9809,3197,18
ESTERO PIRU,20148,3474,18
ESTERO SAUCE,9810,3197,18
ESTERO YATAY,9811,3197,18
ESTINGANA,20119,3346,18
ESTANCIA SANTA MARIA,17475,3423,18
ESTRELLA,9754,3461,18
FELIPE YOFRE,10036,3472,18
FERNANDEZ,19256,3405,18
FERRET,20255,3463,18
FERRO,19647,3440,18
FLORIDA,19495,3302,18
FLORIDA,9871,3344,18
FRANCISCO GAUNA,19715,3427,18
FRONTERA,19257,3405,18
FANEGAS,19357,3454,18
ESTANCIA SANTA CRUZ,19758,3470,18
ESTANCIA SAN SOLANO,20117,3231,18
ESTANCIA SAN ROBERTO,17474,3423,18
ESTANCIA LAGUNA LIMPIA,19044,3196,18
ESTANCIA LAS MAGNOLIAS,19124,3344,18
ESTANCIA LAS SALINAS,10237,3474,18
ESTANCIA LAS TUNAS,19126,3344,18
ESTANCIA LOMATORA,19896,3230,18
ESTANCIA LOS MILAGROS,20114,3231,18
ESTANCIA LOS PARAISOS,17728,3460,18
ESTANCIA MANDURE,19756,3470,18
ESTANCIA MARQUEZ LUI,19050,3196,18
ESTANCIA MBOTA,17251,3481,18
ESTANCIA POZO CUADRADO,20115,3231,18
ESTANCIA RINCON GRANDE,20254,3463,18
ESTANCIA ROSARIO,19757,3470,18
ESTANCIA SAN ANTONIO,17259,3481,18
ESTANCIA SAN JAVIER,19492,3302,18
ESTANCIA SAN JUAN,20116,3231,18
ESTANCIA SAN JULIO,17730,3460,18
ESTANCIA SAN MATEO,20202,3340,18
ESTANCIA SAN MIGUEL,20203,3340,18
ESTANCIA LA LOMA ALTA,20113,3231,18
