PUERTO MARQUEZ,19036,3190,30
PUERTO BARRILES,18610,2840,30
PUERTO RUIZ,8899,2840,30
PUERTO CADENAS,19288,3192,30
PUERTO CAMPINCHUELO,20389,3261,30
PUERTO COLORADO,17578,3280,30
PUERTO CONSTANZA,8979,2846,30
PUERTO CURTIEMBRE,9135,3113,30
PUERTO ESQUINA,20531,3155,30
PUERTO ALMIRON,17574,3281,30
PUERTO LA ESMERALDA,19294,3190,30
PUERTO LAS CUEVAS,18342,3101,30
PUERTO LOPEZ,20535,3101,30
PUERTO PERAZZO,8962,2846,30
PUERTO DIAMANTE,18341,3105,30
PUERTO IBICUY,19023,2846,30
PUENTE VICTORIA,9250,3153,30
PUERTO ALGARROBO,19280,3127,30
PUEBLO MORENO,9134,3122,30
PUEBLO NUEVO,8960,2820,30
PUERTO SAN JUAN,8963,2846,30
PUEBLO NUEVO,20383,3170,30
PUEBLO PRIMERO,27762,3174,30
PUENTE CARMONA,19985,3118,30
PUENTE DE GUALEGUAYCHU,17569,3265,30
PUENTE DE LAS PENCAS,18336,3101,30
PUENTE DE LUCAS,20675,3216,30
PUENTE DEL CHAÑAR,19988,3111,30
PUENTE ÑANCAY,18906,2823,30
PUENTE OBISPO,20100,3174,30
PUENTE PARANACITO,8961,2823,30
PUENTE PELLEGRINI,18608,2840,30
PUERTA DE CRESPO,8898,3155,30
PUERTO ALGARROBO,18424,3206,30
PUENTE DEL DOLL,18339,3101,30
RACHEL,20676,3246,30
PUERTO VIBORAS,19989,3129,30
RINCON DE MOJONES,9295,3241,30
RINCON DE NOGOYA,20541,3155,30
RINCON DEL CINTO,18918,2826,30
RINCON DEL DOLL,9252,3101,30
RINCON DEL GATO,8965,2821,30
RINCON DEL NOGOYA SUR,18620,2840,30
RINCON LUCAS NORTE,20679,3241,30
RINCON LUCAS SUD,20680,3241,30
RIO AGUILA,18648,2805,30
RIO ALFEREZ NELSON PAGE,18930,2805,30
RIO CEIBO,18931,2805,30
RIO PARANA GUAZU,18938,2805,30
RIO PASAJE AL AGUILA,18878,2805,30
PUEBLO LIEBIG,8689,3281,30
RIO SAUCE,18941,2805,30
RINCON DE LAS GUACHAS,20126,3174,30
RAMON A PARERA,9138,3118,30
RAMBLON,9137,3109,30
RAICES OESTE,9294,3241,30
PUERTO VIEJO,19991,3100,30
PUERTO VIEJO,20393,3260,30
PUERTO VILLARRUEL,19994,3127,30
PUERTO YERUA,8761,3201,30
PUERTO YUNQUE,19301,3190,30
PUNTA DEL MONTE,8900,2840,30
PUNTAS DE MOREIRA,18159,3181,30
PUERTO UNZUE,8964,2820,30
PUNTAS DEL GUALEGUAYCHU,8690,3269,30
QUEBRACHITOS,20538,3153,30
QUEBRACHO,19997,3109,30
QUEBRACHO,18161,3212,30
QUINTAS AL SUD,9136,3100,30
QUINTO CUARTEL VICTORIA,9251,3153,30
QUINTO DISTRITO,8901,2843,30
RACEDO,8797,3114,30
PUNTAS DEL PALMAR,8691,3280,30
PUEBLO GENERAL PAZ,9133,3123,30
PASO DE LAS PIEDRAS,19972,3118,30
PUEBLO FERRE,8760,3216,30
PALAVECINO,8953,2820,30
PALMAR,8683,3285,30
PALMAR YATAY,8684,3287,30
PALO A PIQUE,8872,3191,30
PARACAO,9128,3100,30
PARADA YUQUERI,8757,3214,30
PARAJE GUAYABO,9293,3240,30
PARAJE PALAVEROI,18853,2805,30
PARANA,9129,3100,30
PARANA BRAVO,8954,2805,30
PARANACITO,8978,2846,30
PARQUE NACIONAL EL PALMAR,17550,3280,30
PASAJE TALAVERA,18883,2804,30
PASO DE LA ARENA,19966,3118,30
PASO DE LA BALZA,19970,3113,30
PALACIO SAN JOSE,9223,3262,30
PASO DE LA LAGUNA,20672,3241,30
PAJONAL,9248,3101,30
PAJA BRAVA,8795,3101,30
RIO TALAVERA,18947,2805,30
MONTIEL,9024,3191,30
MONTOYA,9068,3150,30
MONTOYA,9247,3151,30
MORENO,9126,3122,30
MULAS GRANDES,27839,3187,30
ÑANDUBAYSAL,8952,2821,30
NICOLAS HERRERA,9222,3272,30
NOGOYA,9069,3150,30
NOVIBUCO PRIMERO,20362,3170,30
NUEVA ESCOCIA,8755,3201,30
NUEVA VIZCAYA,18422,3212,30
OMBU,9025,3190,30
ORO VERDE,9127,3100,30
OSVALDO MAGNASCO,8756,3212,30
PAJAS BLANCAS,8871,3187,30
PASO DE LA LEGUA,20673,3240,30
PASO DEL ABRA,20525,3153,30
PASO DEL CISNERO,8955,2846,30
PILOTO AVILA,9027,3190,30
POS POS,8686,3285,30
PRIMER CONGRESO,9028,3142,30
PRIMER CUARTEL,20099,3174,30
PRIMER DISTRITO,18578,2840,30
PRONUNCIAMIENTO,9225,3263,30
PUEBLITO,9070,3164,30
PUEBLITO NORTE,9249,3155,30
PUEBLO ARRUA EST ALCARAZ,8983,3138,30
PUEBLO BELLOCQ,9131,3136,30
PUEBLO BRUGO,9132,3125,30
PUEBLO CAZES,8687,3269,30
PUEBLO COLORADO,8688,3281,30
PUEBLO DOMINGUEZ,20674,3246,30
PUEBLO ELLISON,9029,3142,30
PIEDRAS BLANCAS,9026,3129,30
PICADA BERON,27844,3190,30
PESQUERIA DIAMANTINO,18898,2820,30
PERUCHO VERNA,8685,3283,30
PASO DEL GALLO,18122,3212,30
PASO DEL MOLINO,20369,3260,30
PASO DUARTE,27836,3181,30
PASO GARIBALDI,19245,3192,30
PASO MARGARIÑOS,18129,3200,30
PASO MEDINA,19249,3190,30
PASO POTRILLO,19252,3127,30
PUEBLO GENERAL BELGRANO,8796,2821,30
PASO PUERTO AUGUSTO,19255,3190,30
PASO TELEGRAFO,19263,3194,30
PASTOR BRITOS,8956,2826,30
PEDERMAR,8758,3203,30
PEDERNAL,8759,3203,30
PEHUAJO NORTE,8957,2821,30
PEHUAJO SUD,8958,2854,30
PERDICES,8959,2823,30
PASO SOCIEDAD,18139,3181,30
RIVAS,8799,3164,30
TABLADA OESTE,8769,3200,30
ROSARIO DEL TALA,9169,3174,30
URDINARRAIN,8969,2826,30
VERGARA,9300,3252,30
VIALE,9152,3109,30
VIBORAS,8877,3187,30
VICTORIA,9254,3153,30
VILLA AIDA,8803,3103,30
VILLA ANGELICA,27922,3151,30
VILLA ANTONY,8970,2820,30
VILLA BOREILO,9040,3191,30
VILLA CLARA,9301,3252,30
VILLA DEL CERRO,8971,2821,30
VILLA DEL ROSARIO,8844,3229,30
VILLA DOMINGUEZ,9302,3246,30
VILLA ELEONORA,18998,2820,30
VILLA ELISA,8701,3265,30
UBAJAY,8700,3287,30
VILLA FAUSTINO M PARERA,8972,2824,30
TTE PRIMERO BRIGIO CAINZO,8856,3212,30
TRES ESQUINAS,9253,3156,30
SURST,18430,3228,30
TABLADA NORTE,8768,3200,30
TABOSSI,9147,3111,30
TACUARAS YACARE,9039,3190,30
TALITA,9233,3261,30
TALITAS,9148,3136,30
TALITAS GUALEGUAYCHU,8968,2852,30
TASES,8876,3187,30
TATUTI,27749,3229,30
TEZANOS PINTO,9149,3114,30
TIRO FEDERAL,9150,3100,30
TOMAS ROCAMORA,9234,3261,30
TRES ALDEAS,20429,3170,30
TRES BOCAS,8906,3155,30
TRES ESQUINAS,18976,2820,30
TRES LAGUNAS,9151,3113,30
SUBCENTRAL SANTA MARIA,18169,3180,30
VILLA FONTANA,9153,3114,30
VILLA HERNANDARIAS,9155,3127,30
VILLAGUAYCITO,9305,3218,30
VILLAMIL,18170,3181,30
VIRANO,9306,3142,30
VIZCACHERA,9041,3127,30
WALTER MOSS,8771,3216,30
YACARE,9042,3190,30
YAROS,8772,3212,30
YATAY,8703,3281,30
YERUA,8773,3214,30
YESO,9043,3190,30
YESO OESTE,19349,3190,30
YUQUERI,8774,3214,30
ZENON ROCA,20687,3240,30
ZONA DELTA DEL PARANA,27600,2820,30
MONTE VERDE,18420,3228,30
VILLAGUAY ESTE,9304,3244,30
VILLA GOB LUIS ETCHEVEHERE,9154,3114,30
VILLAGUAY,9303,3240,30
VILLA URQUIZA,9158,3113,30
VILLA LIBERTAD,20549,3228,30
VILLA LIBERTADOR SAN MARTIN,8804,3103,30
VILLA LILA,8973,2820,30
VILLA MANTERO,9235,3272,30
VILLA PARANACITO,8980,2823,30
VILLA PERPER,8857,3188,30
VILLA PORTEÑA,8878,3191,30
VILLA ROMERO,8974,2824,30
VILLA SAN JUSTO,20437,3262,30
VILLA SAN MARCIAL,9236,3248,30
VILLA SAN MIGUEL,9237,3272,30
VILLA SARMIENTO,9156,3100,30
VILLA TRES DE FEBRERO,9074,3150,30
VILLA UDINE,9238,3262,30
VILLA URANGA,9157,3100,30
VILLA ZORRAQUIN,8770,3201,30
STROBEL,8802,3101,30
SPINDOLA,9299,3252,30
SOSA,9146,3133,30
SAN JAIME,8839,3185,30
SAN JAIME DE LA FRONTERA,8840,3185,30
SAN JORGE,8765,3212,30
SAN JOSE,8695,3283,30
SAN JOSE DE FELICIANO,8873,3187,30
SAN JUAN,9033,3191,30
SAN JUAN LA QUERENCIA,8766,3212,30
SAN JULIAN,8904,2841,30
SAN JUSTO,9229,3260,30
SAN LORENZO,9071,3158,30
SAN LUIS SAN JOSE FELICIANO,8874,3187,30
SAN MARTIN,9230,3111,30
SAN MARTIN,20012,3113,30
SAN MIGUEL,8696,3269,30
SAN MIGUEL NRO 2,8697,3269,30
SAN GUSTAVO,9032,3191,30
SAN PEDRO,8841,3212,30
SAN GREGORIO,8694,3203,30
SAN FRANCISCO,8693,3265,30
ROSPINA,9296,3246,30
RUTA 138 KILOMETRO 1,20006,3100,30
RUTA 14 KM 443,8762,3201,30
SAGASTUME,18950,2823,30
SAGASTUME,9227,3246,30
SALADERO ALZUA,8902,2840,30
SALADERO CONCORDIA,8763,3200,30
SALADERO SAN JOSE,8903,2840,30
SAN ANSELMO,8692,3281,30
SAN ANTONIO,8966,2826,30
SAN ANTONIO,9030,3191,30
SAN BENITO,9139,3107,30
SAN BUENAVENTURA,8764,3212,30
SAN CIPRIANO,9228,3263,30
SAN FRANCISCO,8800,3101,30
