TATU PIRE,22918,3630,34
TRES LAGUNAS,23294,3620,34
TRES LAGUNAS,8607,3611,34
TRES LAGUNAS,22401,3601,34
TRANSITO CUE,8557,3626,34
TORO PASO,8606,3611,34
TOMAS GODOY CRUZ,8556,3630,34
TIMBO PORA,22178,3600,34
TENIENTE BROWN,8555,3622,34
TATANE,8554,3601,34
SOLDADO HERIBERTO AVALOS,8581,3615,34
SUIPACHA,8553,3630,34
SUBTTE RICARDO E MASAFERRO,8582,3615,34
SUBTENIENTE PERIN,8552,3624,34
SOMBRERO NEGRO,8646,3636,34
SOLDADO TOMAS SANCHEZ,8638,3601,34
SOLDADO RAMON A ARRIETA,8551,3620,34
SOLDADO MARCELINO TORALES,8401,3630,34
SOLDADO ISMAEL SANCHEZ,8550,3624,34
TRES MARIAS,22179,3600,34
SUMAYEN,8402,3634,34
TRES MOJONES,8450,3601,34
ZORRILLA CUE,23968,3606,34
TRES POZOS,8559,3626,34
SOLDADO ERMINDO LUNA,8549,3630,34
YUNCA,23965,3620,34
VIRASOL,23532,3610,34
VILLA REAL,8584,3615,34
VILLA MERCEDES,23963,3624,34
VILLA LUCERO,8609,3611,34
VILLA HERMOSA,23297,3615,34
VILLA GRAL MANUEL BELGRANO,8563,3615,34
VILLA GENERAL URQUIZA,8564,3628,34
VILLA GENERAL GUEMES,8562,3621,34
VILLA ESCOLAR,8452,3526,34
VILLA EMILIA,22181,3600,34
VILLA DOS TRECE,16417,3603,34
VILLA ADELAIDA,8561,3624,34
VACA PERDIDA,22072,3636,34
URBANA VIEJA,8560,3621,34
TTE GRAL ROSENDO N FRA,22557,3636,34
TTE GRAL JUAN C SANCHEZ,23530,3611,34
TTE CNEL GASPAR CAMPOS,22069,3630,34
TTE CNEL GASPAR CAMPOS,23296,3615,34
TRES POZOS,22066,3634,34
TRES POCITOS,8451,3601,34
SOLDADO EDMUNDO SOSA,22402,3603,34
POZO DE LAS GARZAS,8536,3630,34
SOLDADO ALBERTO VILLALBA,8547,3636,34
EL MARCADO,17835,3634,34
EL MIRADOR,22810,3630,34
EL MISTOLAR,22542,3636,34
EL MOJON,17840,3634,34
EL ÑANDU,22814,3608,34
EL OCULTO,8501,3624,34
EL OLVIDO,8427,3601,34
EL OMBU,8428,3601,34
EL PALMAR,23874,3606,34
EL PALO SANTO,17842,3634,34
EL PARAISO,8589,3610,34
EL PARAISO,17845,3634,34
EL PERDIDO,22815,3630,34
EL PILON,17848,3634,34
EL PIMPIN,8377,3632,34
EL PINDO,8429,3601,34
EL PINDO,8378,3634,34
EL POI,23875,3606,34
EL POMBERO,23278,3611,34
EL PORTEÑITO,8502,3621,34
EL PORTEÑO,8503,3620,34
EL POTRERITO,22545,3636,34
EL POTRILLO,27626,3636,34
EL QUEBRACHO,22820,3630,34
EL QUEBRANTO,23878,3606,34
EL QUEMADO,8379,3636,34
SOLDADO DANTE SALVATIERRA,8548,3624,34
EL GUAJHO,23873,3606,34
