SANTILLO,23734,4512,38
SANTO DOMINGO,13144,4608,38
SAUZAL,23735,4501,38
SANTUYOC,16639,4616,38
SANTUARIO,13089,4640,38
SANTA ROSA VALLE GRANDE,24077,4618,38
TABLADITAS,13091,4640,38
SANTA RITA,23521,4608,38
SANTA RITA,23918,4501,38
SANTA CLARA,24076,4513,38
SANTA CLARA,13270,4501,38
SAUZALITO,23738,4512,38
SANTA CATALINA,13288,4655,38
SANTA ROSA TUMBAYA,24060,4618,38
SAYATE,13090,4640,38
SUSQUES,13299,4641,38
SEPULTURA,23739,4512,38
SEY,13298,4411,38
SIBERIA,16629,4506,38
SIETE AGUAS,13271,4501,38
SIJES,23967,4641,38
SOCABON,23741,4512,38
SOLEDAD,23742,4512,38
SOLEDAD,24078,4631,38
SORCUYO,23483,4640,38
SOYSOLAYTE,23969,4643,38
SURIPUJIO,13372,4651,38
SUSUYACO,24061,4618,38
SANTA BARBARA,13349,4513,38
SENADOR PEREZ,13172,4626,38
SANTA ANA DE LA PUNA,13088,4641,38
SAN FRANCISCO,13286,4655,38
SANSANA,13371,4650,38
TABLON,24079,4631,38
SAN BERNARDO,13334,4618,38
SAN FRANCISCO,13346,4512,38
SAN FRANCISCO DE ALFARCITO,13086,4641,38
SAN GABRIEL,23514,4608,38
SAN JAVIER,24059,4618,38
SAN JOSE,13312,4626,38
SAN JOSE DE LA RINCONADA,23756,4643,38
SAN JOSE DE MIRAFLORES,16617,4640,38
SAN JOSE DEL BORDO,13250,4500,38
SAN JOSE DEL CHAÑI,13335,4618,38
SAN JUAN,13226,4643,38
SAN JUAN,23944,4655,38
SAN JUAN DE DIOS,13251,4501,38
SANTA ANA,13348,4631,38
SAN JUAN DE OROS,23946,4655,38
SAN JUANCITO,23517,4608,38
SAN LEON,13287,4655,38
SAN LORENZO,23732,4514,38
SAN LUCAS,13252,4500,38
SAN LUCAS,13347,4513,38
SAN PABLO DE REYES,23436,4600,38
SAN PEDRITO,13313,4622,38
SAN PEDRO,13227,4500,38
SAN PEDRO DE IRUYA,23566,4633,38
SAN RAFAEL,13269,4501,38
SAN RAFAEL,23520,4608,38
SAN ROQUE,13171,4630,38
SAN SALVADOR DE JUJUY,13099,4600,38
SAN VICENTE,13143,4608,38
SAN JUAN DE QUILLAGUES,13087,4641,38
TACTA,23985,4622,38
YERBA BUENA LEDESMA,23749,4622,38
TALA GRUSA,24062,4618,38
TURU TARI,16611,4640,38
TURU TARI,23974,4641,38
TUSAQUILLAS,13093,4641,38
UQUIA,13175,4626,38
VALLE COLORADO,13350,4631,38
VALLE GRANDE,13351,4513,38
VARAS,13176,4631,38
VENECIAS ARGENTINAS,23525,4608,38
VETA MINA AGUILAR,13177,4634,38
VICUÑAYOC,23569,4634,38
VILLA ARGENTINA,23526,4608,38
VILLA CIUDAD DE NIEVA,13103,4600,38
VILLA CORANZULI,13293,4643,38
VILLA DEL PERCHEL,13315,4626,38
TURILARI,23973,4641,38
VILLA GORRITI,13105,4600,38
VINALITO,13272,4518,38
VIZACACHAL,24082,4631,38
VOLCAN,13341,4616,38
VOLCAN HIGUERA,23571,4633,38
YACORAITE,23573,4634,38
YALA,13108,4616,38
YALA DE MONTE CARMELO,13352,4624,38
YAVI,13375,4651,38
YAVI CHICO,13376,4644,38
YERBA BUENA TILCARA,23986,4622,38
YOSCABA,13291,4653,38
YUTO,13194,4518,38
ZAPLA,23438,4612,38
SAN ANTONIO,13235,4605,38
VILLA JARDIN DE REYES,23426,4600,38
TAFNA,13373,4650,38
TUNALITO,13340,4618,38
TUMBAYA,13339,4618,38
TALAR,16654,4513,38
TAMBILLOS,13092,4641,38
TANQUES,23971,4641,38
TARIJITA,23743,4512,38
TEJADAS,13173,4634,38
TERMAS DE REYES,13100,4600,38
TESORERO,23437,4600,38
TESORERO,13336,4616,38
TEUCO,16610,4641,38
TILCARA,13314,4624,38
TILQUIZA,13101,4600,38
TIMON CRUZ,13289,4655,38
TIO MAYO,23805,4643,38
TIO MAYO,23947,4653,38
TUMBAYA GRANDE,24065,4618,38
TIRAXI,13337,4616,38
TOBA,23744,4606,38
TOBA,16620,4648,38
TOCOL,23972,4643,38
TOQUERO,13290,4653,38
TOQUILLERA,23745,4512,38
TORO MUERTO,24080,4631,38
TOTORITO,24063,4618,38
TRANCAS,24081,4631,38
TREMENTINAL,23747,4512,38
TRES CRUCES,13174,4634,38
TRES MORROS,13338,4618,38
TRIUNVIRATO,24064,4618,38
TUCUMANCITO,23748,4512,38
TUITE,23485,4644,38
TIRAXI CHICO,16641,4616,38
SAN ANTONIO,16653,4513,38
CINCEL,23777,4643,38
SAN ANDRES,23563,4630,38
EL CABRAL,27529,4608,38
EL BRETE,13201,4612,38
EL BANANAL,23617,4512,38
EL ARENAL,23386,4601,38
EL ARENAL,13253,4500,38
EL ANGOSTO,13319,4655,38
EL CADILLAL,13116,4608,38
EL AMANCAY,23385,4600,38
EL ALGARROBAL,23382,4600,38
EL AIBAL,23614,4512,38
EL AGUILAR,13156,4634,38
EL ACHERAL,23824,4500,38
DURAZNAL,23612,4512,38
DONCELLAS,13070,4641,38
EL ALGARROBAL,13200,4612,38
DON JORGE,23607,4512,38
EL CALLEJON,23979,4622,38
EL CARMEN,13117,4603,38
EL MORENO,13320,4618,38
EL MONUMENTO,16657,4650,38
EL MOLLAR,23489,4608,38
EL MOLINO,24020,4618,38
EL MISTOL,23879,4501,38
EL MANANTIAL,23621,4512,38
EL CARDONAL,16624,4506,38
EL FUERTE,13254,4501,38
EL CUCHO,13202,4612,38
EL CUCHO,23388,4600,38
EL CONDOR,13157,4644,38
EL COLORADO,24019,4618,38
EL CHAGUARAL,27794,4500,38
EL CAULARIO,23619,4512,38
EL DURAZNO,13303,4624,38
DOGLONZO,13155,4631,38
CUSI CUSI,13215,4643,38
CRUZ NIDO,24018,4618,38
COCHAGATE,23445,4640,38
CIENEGUILLAS,13276,4653,38
CIENEGO GRANDE,13213,4643,38
CIENAGA GRANDE,24013,4643,38
CIENAGA,23604,4512,38
CIANZO,13152,4630,38
COCHINOCA,13068,4641,38
CHUQUINA,23380,4600,38
CHUCUPAL,13118,4603,38
CHUCALEZNA,13151,4626,38
CHORRO,16644,4513,38
CHORRILLOS,23541,4630,38
CHORRILLOS,13302,4626,38
CHORRILLO,24012,4618,38
CHULIN O INCA NUEVA,23443,4640,38
COCTACA,13153,4631,38
COIRURO,24014,4618,38
COLONIA 8 DE SEPTIEMBRE,16623,4512,38
COYAGUAIMA,13214,4643,38
COSTILLAR,24017,4618,38
CORTADERAS,24068,4631,38
CORTADERAS,24016,4618,38
CORTADERAS,23605,4512,38
CORRALITO,24088,4650,38
CORRAL DE PIEDRAS,23381,4601,38
CORRAL BLANCO,24087,4655,38
CORONEL ARIAS,13115,4608,38
