PORTILLO AGUA DE TORO,5669,5545,50
PORTILLO CANALES,17863,5569,50
PORTEZUELO CHOIQUE,17623,5613,50
PONCE,18136,5594,50
PO DEL HUANACO,17620,5613,50
PO PEHUENCHE,17622,5613,50
PO VALLE HERMOSO,19897,5539,50
PO MALLAN,17621,5613,50
PO MAIPU,17846,5569,50
PO DEL RUBIO,19893,5539,50
PORTILLO CRUZ DE PIEDRA,17847,5569,50
POLVAREDAS,19899,5551,50
PORTILLO DE COLINA,17849,5569,50
PORTILLO DEL DIABLO,20644,5560,50
PORTILLO DE LA G  DEL CAMINO,17852,5569,50
PORTILLO DE LA LAGRIMA VIVA,19907,5539,50
PORTILLO DEL VIENTO,20557,5569,50
PORTILLO DE LA YESERA,20554,5569,50
PORTILLO DE LAS CABEZAS,20555,5569,50
PORTILLO DE LAS VACAS,19909,5539,50
PORTILLO DE LOMAS COLORADAS,19901,5539,50
PORTILLO DE PINQUENES,20643,5560,50
PORTILLO DEL TIGRE,19912,5539,50
PORTILLO DEL MEDIO,19910,5539,50
PORTILLO DEL NORTE,19911,5539,50
PORTILLO DEL PAPAL,20556,5569,50
PO DE LOS ESCALONES,17844,5569,50
PORTILLO DE INDIO,19905,5539,50
PO DE LA QUEBRADA HONDA,19892,5539,50
PASO LOS PALOS,20642,5560,50
PO DE CONTRABANDISTA,19890,5539,50
PASO DE LOS ANDES,5762,5503,50
PORTILLO LA PAMPA,19908,5539,50
PASO DE LAS CARRETAS,17829,5569,50
PASO DE LOS GAUCHOS,19216,5636,50
PASO DEL CISNE,17446,5533,50
PASO HONDO,5668,5541,50
PATA MORA,17618,5613,50
PATIMALAL,5832,5613,50
PAULINO MATURA,17269,5590,50
PAYUN,17619,5613,50
PEDREGAL,5797,5529,50
PEDRO CASTELU,17270,5590,50
PEDRO PABLO PEREZ,17271,5590,50
PO DE LA CUMBRE,19891,5539,50
PEDRO VARGAS,5939,5603,50
PERDRIEL,5763,5509,50
PETROLEO,5764,5549,50
PHILLIPS,5857,5579,50
PICHI CIEGO ESTACION FCGSM,5971,5594,50
PICOS BAYOS,17830,5569,50
PIEDRA DE AFILAR,5940,5615,50
PIEDRAS BLANCAS,5874,5569,50
PIRCAS DE OSORIO,17837,5569,50
PIRQUITA EMBARCADERO FCGSM,5632,5590,50
PLAZA DE MULAS,19885,5500,50
PO ALVARADO NORTE,17839,5569,50
PO ALVARADO SUR,17841,5569,50
PO AMARILLO,17843,5569,50
PEÑA,18135,5594,50
PORTILLO OCCIDENTAL DEL BAYO,20558,5569,50
PUESTO F TELLO,17889,5569,50
PORTILLO QUEMADO,19904,5539,50
PUESTO DE LA CORONA,19218,5636,50
PUESTO DE LA SALADA,17887,5569,50
PUESTO DE LAS CARRETAS,17275,5590,50
PUESTO DE LAS TROPAS,17276,5590,50
PUESTO DE OLGUIN,17277,5590,50
PUESTO DE OROZCO,17278,5590,50
PUESTO DE PETRA,17279,5590,50
PUESTO DE SOSA,17280,5590,50
PUESTO DEL BUEN PASTOR,19219,5636,50
PUESTO DEL CHAÑACAL,17282,5590,50
PUESTO EL CARRIZALITO,20562,5569,50
PUESTO EL JAGUAL,17888,5569,50
PUESTO EL JILGUERO,16969,5600,50
PUESTO DE GARRO,17274,5590,50
PUESTO EL MANZANO,20647,5560,50
PUESTO EL PICHON,17449,5533,50
PUESTO EL RETAMITO,17283,5590,50
PUESTO EL TOTORAL,19923,5539,50
PUESTO EL TRUENO,18138,5594,50
PUESTO ESCONDIDO,19914,5539,50
PUESTO GARCIA,18140,5594,50
PUESTO GENDARMERIA NACIONAL PO,17641,5613,50
PUESTO GENTILE,20392,5611,50
PUESTO GUAMPARITO,19924,5539,50
PUESTO HORQUETA,17891,5569,50
PUESTO ISLA CHAÑAR,5671,5435,50
PASO DE LAS CANOAS,17267,5590,50
PUESTO J ALVAREZ,17892,5569,50
PUESTO EL PERAL,19915,5539,50
PORTILLO PEDERNALES,20559,5569,50
PUESTO CHAMBON,19921,5539,50
PUESTO CANALES,20561,5569,50
POSTA DE HIERRO,19217,5621,50
POSTE DE FIERRO,5533,5621,50
POTRERILLOS,5765,5549,50
POTRERO SAN PABLO,20645,5560,50
PRIMAVERA,5578,5525,50
PROGRESO,5718,5535,50
PTA DEL AGUA VIEJA,16965,5600,50
PTO LOS AMARILLOS,17016,5636,50
PUEBLO DIAMANTE,5941,5600,50
PUEBLO ECHEVARRIETA,5942,5603,50
PUEBLO LUNA,5534,5632,50
PUEBLO SOTO,5943,5600,50
PUENTE DEL INCA,5670,5555,50
PUESTO CARRIZALITO,19918,5539,50
PUENTE VIEJO,17273,5590,50
PUERTO HORTENSA,17447,5533,50
PUERTO RINCON ESCALONA,20388,5613,50
PUESTA EL CAVADO,16966,5600,50
PUESTO A MARTINEZ,17884,5569,50
PUESTO AGUA AMARGA,17636,5613,50
PUESTO AGUA DE LA LIEBRE,16967,5600,50
PUESTO AGUA DE LA MERINA,20390,5613,50
PUESTO AGUA DE LA ZORRA,17886,5569,50
PUESTO AGUA DE ZANJON,19920,5539,50
PUESTO AGUA DEL MEDANO,16968,5600,50
PUESTO ALFARFA,20657,5561,50
PUESTO ALGARROBO GRANDE,17448,5533,50
PUESTO ATAMISQUI,17640,5613,50
PUERTA DE LA ISLA,5633,5590,50
PASCUAL SOSA,17266,5590,50
LOS ROSETI,17236,5590,50
PARAMILLO DE LAS VACAS,19884,5500,50
LUNLUNTA,5792,5517,50
LUZURIAGA,5770,5513,50
M ESCUDERO,17245,5590,50
M QUIROGA,17247,5590,50
MAIPU,5794,5515,50
MALAL DEL MEDIO,17604,5611,50
MALARGUE,5828,5613,50
MALLIN QUEMADO,17605,5613,50
