ESTANCIA DOS HEMANAS,26604,9420,94
ESTANCIA CARMEN,26591,9420,94
ESTANCIA CAUCHICO,26595,9420,94
ESTANCIA COSTANCIA,26598,9420,94
ESTANCIA CULLEN,26601,9420,94
ESTANCIA DESPEDIDA,26749,9420,94
ESTANCIA AURELIA,26580,9420,94
ESTANCIA BUENOS AIRES,26588,9420,94
ESTANCIA EL ROBLE,26608,9420,94
ESTANCIA JOSE MENENDEZ,26628,9420,94
ESTANCIA EL SALVADOR,26616,9420,94
ESTANCIA GUAZU CUE,26620,9420,94
ESTANCIA HARBERTON,26467,9410,94
ESTANCIA HERMINITA,26625,9420,94
ESTANCIA INES,26626,9420,94
ESTANCIA LA CRIOLLA,26632,9420,94
ESTANCIA LA FUEGUINA,26640,9420,94
ESTACION OSN,26572,9420,94
ESTANCIA LA INDIANA,26644,9420,94
ESTANCIA EL RODEO,26613,9420,94
ESTACION CIENTIFICA ALTE BROWN,5035,9411,94
BASE AEREA VICECOMOD MARAMBIO,5027,9411,94
EL PARAMO,5042,9420,94
ESTANCIA LA PORTEÑA,26646,9420,94
ASERRADERO ARROYO,26540,9420,94
BAHIA LAPATAIA,26464,9410,94
BASE AEREA TENIENTE MATIENZO,5026,9411,94
BASE BELGRANO,5029,9411,94
BASE BELGRANO 2,27629,9411,94
BASE BELGRANO 3,5030,9411,94
BASE CIENTIFICA TTE JUBANY,27627,9411,94
BASE EJERCITO ESPERANZA,5028,9411,94
BASE EJERCITO GRAL SAN MARTIN,5031,9411,94
BASE EJERCITO PRIMAVERA,5032,9411,94
BASE EJERCITO SOBRAL,5033,9411,94
BASE ORCADAS,27628,9411,94
CABAÑA RUBY,26542,9420,94
CABO SAN PABLO,26551,9420,94
CAMPAMENTO CENTRAL YPF,26552,9420,94
CAMPAMENTO LOS CHORRILLOS,26554,9420,94
COMISARIA RADMAN,26555,9420,94
DESTACAMENTO MELCHIOR,5034,9411,94
ESTACION AERONAVAL,26568,9411,94
ESTANCIA LAS HIJAS,26648,9420,94
MISION SALESIANA MÑOR FAGNANO,27796,9420,94
ESTANCIA LAURA,26653,9420,94
ESTANCIA VIAMONTE,26746,9420,94
FRIGORIFICO CAP,26750,9421,94
HOSTERIA KAIKEN,26533,9410,94
ISLA DE LOS ESTADOS,5047,9410,94
ISLA GRAN MALVINA,5040,9409,94
ISLA JOINVILLE,5036,9411,94
ISLA SHETLAND DEL SUR,5037,9411,94
ISLA SOLEDAD,5041,9409,94
ISLAS GEORGIAS DEL SUR,5038,9411,94
ISLAS ORCADAS DEL SUR,5039,9411,94
ISLAS SANDWICH DEL SUR,27631,9411,94
LAGO KHAMI,26751,9420,94
PUNTA MARIA,26754,9420,94
RIO GRANDE,5043,9420,94
SAN SEBASTIAN,5044,9420,94
SANTA INES,5045,9420,94
SECCION AVILES  ESTANCIA SAN J,26757,9420,94
TOLHUIN,5046,9420,94
USHUAIA,5048,9410,94
ESTANCIA TEPI,26744,9420,94
ESTANCIA SARA,26743,9420,94
ESTANCIA SANTA ANA,26740,9420,94
ESTANCIA SAN PABLO,26738,9420,94
ESTANCIA LIBERTAD,26658,9420,94
ESTANCIA LOS FLAMENCOS,26662,9420,94
ESTANCIA MARIA BEHETY,26666,9420,94
ESTANCIA MARIA CRISTINA,26668,9420,94
ESTANCIA MARIA LUISA,26674,9420,94
ESTANCIA MARINA,26680,9420,94
ESTANCIA MIRAMONTE,26684,9420,94
ESTANCIA PIRINAICA,26686,9420,94
ESTANCIA POLICARPO,26692,9420,94
ESTANCIA LAS VIOLETAS,26651,9420,94
ESTANCIA RIO CLARO,26695,9420,94
ESTANCIA RIO IRIGOYEN,26700,9420,94
ESTANCIA RIVADAVIA,26704,9420,94
ESTANCIA ROLITO,26708,9420,94
ESTANCIA ROSITA,26711,9420,94
ESTANCIA RUBY,26713,9420,94
ESTANCIA SAN JOSE,26728,9420,94
ESTANCIA SAN JULIO,26731,9420,94
ESTANCIA SAN JUSTO,26735,9420,94
ESTANCIA SAN MARTIN,26737,9420,94
ESTANCIA RIO EWAN,26699,9420,94
ESTANCIA LOS CERROS,26661,9420,94
