MANUELA PEDRAZA,12846,4166,90
MANANTIALES,13002,4124,90
MARIA BLANCA,12803,4157,90
MANUEL GARCIA FERNANDEZ,12653,4166,90
MANCOPA CHICO,25005,4115,90
MARIA ELENA,12654,4168,90
MANCOPA,12652,4115,90
MANCHALA,12651,4166,90
MARAPA,12527,4158,90
MANANTIAL DE OVANTA,12414,4105,90
MACHO HUAÑUSCA,23606,4137,90
MALVINAS,12413,4129,90
MAL PASO,12802,4157,90
MACOMITA,12139,4117,90
MACIO,12845,4172,90
LUJAN,12138,4187,90
LUZ Y FUERZA,24202,4103,90
LUNAREJOS,12650,4113,90
LUISIANA ESTACION FCGM,12348,4117,90
MARIA LUISA,12271,4174,90
LUJAN,12349,4117,90
LULES,12707,4128,90
MANAGUA,12911,4141,90
MARIÑO,12140,4117,90
MISKY,25044,4105,90
MASCIO PILCO,23028,4172,90
MOLLE POZO,25019,4168,90
MOLLE YACO,23611,4137,90
MOLLES,23189,4242,90
LUIS PASTEUR,22423,4178,90
MOLLE DE ABAJO,23610,4137,90
MOLLE CHATO,20962,4119,90
MOLINOS,12274,4151,90
MOJON,12143,4115,90
MIXTA,12656,4115,90
MISTOL,12477,4162,90
MOLLE YACO,24633,4124,90
MARTA,22409,4178,90
MIRANDA,13004,4124,90
MIGUEL LILLO,12655,4113,90
MESADA DE ENCIMA,23609,4137,90
MERCEDES,12804,4152,90
MERCEDES,12415,4128,90
MEMBRILLO,12273,4146,90
MEDINAS,12272,4151,90
MEDINA,12142,4101,90
MAYO,12350,4182,90
MATUL,12141,4101,90
MATO YACO,13003,4122,90
MASCIO SUR,25002,4172,90
MIMILTO,24632,4124,90
LOVAR,23025,4174,90
LOS POCITOS,23603,4137,90
LOS ZAZOS,12910,4137,90
LOS RALOS,12345,4182,90
LOS QUEMADOS,12645,4113,90
LOS PUESTOS,24630,4124,90
LOS PUESTOS,12644,4115,90
LOS PORCELES,12344,4111,90
LOS POCITOS,24983,4168,90
LOS POCITOS,12958,4101,90
LOS PLANCHONES,13000,4105,90
LOS PIZARRO,12552,4162,90
LOS PINOS B,20959,4000,90
